name,rating,genres,tags
Pale Carnations,4.5,Casual,"Nudity, Sexual Content, Visual Novel, NSFW, adult"
Succubus Affection,4.5,"RPG, Indie","Singleplayer, Steam Cloud, RPG, 2D, Pixel Graphics"
Escape Dungeon 2,4.5,"RPG, Strategy, Indie","Singleplayer, RPG, 2D, Fantasy, Gore"
Being a DIK: Season 1 & 2 + Acting Lessons Bundle,4.5,,"role-playing, Story, Drama, character, explore"
My Stepmom is a Futanari 2,4.5,Casual,"Singleplayer, Story Rich, Violent, Anime, Nudity"
Dream SMP: Las Nevadas Bedrock,4.5,Adventure,Short
Fallout of Nevada,4.5,RPG,
Red Falls Season 1,4.5,"Adventure, RPG, Simulation, Indie","Singleplayer, Steam Achievements, RPG, Horror, Early Access"
Rocket League Sideswipe,4.5,"Action, Sports, Arcade",
toca life world,4.5,"Educational, Family","work, click, kid"
Quiplash 2 Interlashional: The Say Anything Party Game!,4.5,"Casual, Indie","Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op"
Brutal Doom,4.5,Action,"Mod, freeware, wad"
Welcome to Elk,4.5,Indie,"Story, Drama, character, city, friends"
Wrapper Offline (MEGA),4.5,,
Gacha Club Studio,4.5,RPG,"Singleplayer, 2D, Anime, Character Customization, flash"
Pragmata,4.5,Action,
love wish 2,4.5,"RPG, Casual","Singleplayer, Steam Achievements, Steam Cloud, RPG, FPS"
Zone of the Enders 2: The Second Runner,4.5,"Action, Simulation",
The Talos Principle: Deluxe Edition,4.5,Puzzle,
Shovel Knight: Shovel of Hope,4.5,"Action, Adventure, Indie","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud"
Monmusu Quest!,4.5,"Adventure, RPG","RPG, Visual Novel, hentai, eroge, choices"
Ostriv,4.5,"Strategy, Simulation","Singleplayer, Sandbox, Survival, Early Access, Replay Value"
Blockman Go: Free Realms & Mini Games,4.5,Arcade,"Exploration, Sandbox, Cute, friends, Minigames"
Rune Factory 3: A Fantasy Harvest Moon,4.5,"Action, RPG","exclusive, true exclusive"
Last Window: The Secret of Cape West,4.5,Adventure,"exclusive, true exclusive, Noir, novel, interactive-novel"
Micro Mages,4.5,"Action, Indie","Singleplayer, Multiplayer, Co-op, cooperative, Partial Controller Support"
Donkey Kong (1994),4.5,"Puzzle, Platformer","character, NES, mario"
Tactical Breach Wizards,4.5,"Adventure, RPG, Strategy, Indie","Singleplayer, RPG"
MegaMan Zero 4,4.5,"Action, RPG, Platformer","War, escape, japan, numbers"
Granblue Fantasy,4.5,RPG,"Multiplayer, Fantasy, Music, art, japan"
Dragon Force,4.5,"RPG, Strategy",
Trainz Railroad Simulator 2019,4.5,Simulation,"Singleplayer, Steam Achievements, Multiplayer, Co-op, Cross-Platform Multiplayer"
Devil Kings,4.5,Action,"Magic, Story, history, art, guns"
Oppaimon,4.5,RPG,"hentai, adult, oppaimon"
Hello Charlotte: Heaven's Gate,4.5,,"Linear, Psychological, renpy, Slice Of Life, Kinetic Novel"
Shining Force: Resurrection of the Dark Dragon,4.5,"RPG, Strategy","Dark, Magic, Remake, fight, evil"
Hello Charlotte EP2: Requiem Aeternam Deo,4.5,"Adventure, RPG, Indie, Puzzle","Story Rich, Sci-fi, Horror, Female Protagonist, Pixel Graphics"
Forgotten Hill Mementoes,4.5,"Adventure, Indie, Puzzle","Singleplayer, Steam Achievements, Steam Cloud, Horror, Gore"
Out of the Park Baseball 19,4.5,"Strategy, Simulation, Sports, Indie","Singleplayer, Steam Achievements, steam-trading-cards, Steam Workshop, Management"
Shadow of Rome,4.5,Action,"exclusive, true exclusive"
Resident Evil 2,4.5,"Action, Adventure","Atmospheric, Horror, Action-Adventure, Zombies, Survival Horror"
Silent Bomber,4.5,Action,"Singleplayer, Multiplayer"
Warsong,4.5,,Singleplayer
Skitchin',4.5,Action,"Singleplayer, Multiplayer, exclusive, true exclusive"
Tom and Jerry in War of the Whiskers,4.5,"Action, Fighting","Singleplayer, Multiplayer"
Baten Kaitos: Eternal Wings and the Lost Ocean,4.5,RPG,"Singleplayer, exclusive, true exclusive"
